doc_id,raw_path,cleaned_text_path,is_cleaned,words,json_ld_path,char_count,metadata,key_words,origin_path,timestamp,extracted_path,lang,format
doc_0,C:\Users\KM-USER\Downloads\nlp\core\../data\ACEHC_organization.pdf,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\cleaned\doc_0.txt,True,183,,393,{},['ACEHC_organization'],C:\Users\KM-USER\Downloads\nlp\core\../data\ACEHC_organization.pdf,2026-04-27T20:07:45.270607,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\extracted\doc_0.txt,cy,.pdf
doc_1,C:\Users\KM-USER\Downloads\nlp\core\../data\Canevas amendement master I2A 2025_Final.pdf,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\cleaned\doc_1.txt,True,13492,,98207,{},"['Canevas amendement master I2A 2025_Final', 'Ingénieur Informatique Doctorat', 'Intelligence Artificielle Appliquée', 'Intelligence Artificielle', 'Intelligence', 'Intitulé du master', 'Master professionnalisant Spécialité', 'nce Artificielle Appliquée', 'Intitulé', 'Année universitaire', 'UMBB Intitulé']",C:\Users\KM-USER\Downloads\nlp\core\../data\Canevas amendement master I2A 2025_Final.pdf,2026-04-27T20:07:52.847568,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\extracted\doc_1.txt,fr,.pdf
doc_2,C:\Users\KM-USER\Downloads\nlp\core\../data\chpaitre 2.pdf,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\cleaned\doc_2.txt,True,5334,,38151,{},"['chpaitre 2', 'services Cloud Infrastructure', 'Cloud Computing Plan', 'Cloud Computing', 'services Cloud', 'Cloud communautaire', 'Cloud', 'Cloud public', 'Cloud privé', 'Cloud hybride', ""AKROUR Département d'informatique""]",C:\Users\KM-USER\Downloads\nlp\core\../data\chpaitre 2.pdf,2026-04-27T20:08:19.966395,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\extracted\doc_2.txt,fr,.pdf
doc_3,C:\Users\KM-USER\Downloads\nlp\core\../data\cloud_bigdata_chapitre_1.pdf,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\cleaned\doc_3.txt,True,5715,,36762,{},"['cloud_bigdata_chapitre_1', 'Cloud Computing Les', 'Cloud Computing', 'Computing Cloud Computing', 'Cloud Computing Cloud', 'Cloud Les Principaux', 'efinition Historique ´Evolution', 'Historique ´Evolution Avantage', '´Evolution Avantage', 'Historique ´Evolution', 'efinition Historique']",C:\Users\KM-USER\Downloads\nlp\core\../data\cloud_bigdata_chapitre_1.pdf,2026-04-27T20:08:25.444095,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\extracted\doc_3.txt,fr,.pdf
doc_4,C:\Users\KM-USER\Downloads\nlp\core\../data\Fiches_sem_Spécialité_Génie Logiciel.pdf,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\cleaned\doc_4.txt,True,3478,,26790,{},"['Fiches_sem_Spécialité_Génie Logiciel', 'Boumerdes Faculté des', 'Informatique Doctorat Informatique', 'Informatique Professeur Cours', 'Informatique Doctorat', 'Ingénieur Informatique Doctorat', 'université de Boumerdes', 'Institut Département Université', 'Intitulé du master', 'Informatique', 'Boumerdes Intitulé']",C:\Users\KM-USER\Downloads\nlp\core\../data\Fiches_sem_Spécialité_Génie Logiciel.pdf,2026-04-27T20:08:28.523853,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\extracted\doc_4.txt,fr,.pdf
doc_5,C:\Users\KM-USER\Downloads\nlp\core\../data\file_csvv___.csv,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\cleaned\doc_5.csv,True,626,,22675,{},"['file_csvv___', 'pdf,E', 'extracted', 'Documents', 'data', 'doc', 'PROJECT', 'data \\مواقيت', 'NLP', 'Licence.pdf', 'DS-BOUSTIL']",C:\Users\KM-USER\Downloads\nlp\core\../data\file_csvv___.csv,2026-04-27T20:08:28.951192,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\extracted\doc_5.csv,ca,.csv
doc_6,C:\Users\KM-USER\Downloads\nlp\core\../data\file_json___ - Copie.json,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\cleaned\doc_6.json,True,28,,307,{},"['file_json___ - Copie', 'timestamp', 'formats', 'TextIngestionAgent', 'length', 'agent', 'pdf', 'languages', 'total', 'avg', 'stats']",C:\Users\KM-USER\Downloads\nlp\core\../data\file_json___ - Copie.json,2026-04-27T20:08:29.159981,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\extracted\doc_6.json,en,.json
doc_7,C:\Users\KM-USER\Downloads\nlp\core\../data\LangGraph-1.html,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\cleaned\doc_7.txt,True,2602,,18252,"{'title': 'Cours Pratique LangGraph', 'meta_description': '', 'headings': ['LangGraph', '📚 Sommaire', 'Module 1 — Introduction à LangGraph', '🤔 Pourquoi LangGraph ?', '📐 LangGraph vs LangChain', 'Module 2 — Concepts Fondamentaux', 'Les 4 piliers de LangGraph', '🗺️ Architecture Visuelle', 'Module 3 — Installation & Configuration', '📦 Installation', '🔑 Configuration des clés API', ""🔍 Vérification de l'installation"", 'Module 4 — Premier Graphe', ""Étape 1 — Définir l'État"", 'Étape 2 — Définir les Nœuds', 'Étape 3 — Assembler le Graphe', '🎯 Exercice 1', 'Module 5 — Edges Conditionnels', 'Syntaxe de base', '🤖 Exemple Complet — Agent ReAct', '🎯 Exercice 2', ""Module 6 — Mémoire & Persistance d'État"", 'Types de Checkpointers', 'Implémentation avec MemorySaver', 'Persistance SQLite (production légère)', '🎯 Exercice 3', 'Module 7 — Human-in-the-Loop', 'Pattern : Interruption pour Validation', 'Module 8 — Systèmes Multi-Agents', 'Architecture Superviseur → Agents', '🎯 Projet Final — Assistant Complet', '🏆 Projet : Agent Analyste de Données', '📋 Récapitulatif des Patterns LangGraph'], 'links': ['#s1', '#s2', '#s3', '#s4', '#s5', '#s6', '#s7', '#s8'], 'json_ld': []}","['LangGraph-1', 'graph.add', 'Module', 'outils', 'LangGraph', 'Cours Pratique LangGraph', 'config', 'agent', 'str', 'Cours Pratique', 'nœud']",C:\Users\KM-USER\Downloads\nlp\core\../data\LangGraph-1.html,2026-04-27T20:08:29.669228,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\extracted\doc_7.txt,fr,.html
doc_8,C:\Users\KM-USER\Downloads\nlp\core\../data\my_image.png,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\cleaned\doc_8.txt,True,175,,1366,{},"['my_image', '٥٤-٥٨ ouftrue', 'data etftrue true', 'etftrue true', 'DPLOFEF', 'true', 'Mod غ les', 'Mod', 'false', 'etlfalse true,false', 'DEVUPRESOURCES']",C:\Users\KM-USER\Downloads\nlp\core\../data\my_image.png,2026-04-27T20:10:21.100659,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\extracted\doc_8.txt,en,.png
doc_9,C:\Users\KM-USER\Downloads\nlp\core\../data\NASA space.png,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\cleaned\doc_9.txt,True,101,,549,{},"['NASA space', 'International Space Challenge', 'NASA International Space', 'NASA International', 'Space Challenge proudly', 'International Space Apps', 'Space Apps Challenge', 'Challenge proudly presents', 'Apps Challenge October', 'Kadri for outstanding', 'Date Program Scientist']",C:\Users\KM-USER\Downloads\nlp\core\../data\NASA space.png,2026-04-27T20:11:31.740350,C:\Users\KM-USER\Downloads\nlp\core\../output\agent1\extracted\doc_9.txt,en,.png
